ID;kalimat
55; Bola  itu  ditendang Bos Andi
55; Bola  itu  ditendang oleh Bos Andi
55; Bos Andi menendang Bola itu
55; Bos Andi sedang menendang Bola itu 
57; Permainan itu  berjalan  menarik
57; Permainan itu  berjalan dengan  menarik
58; Aku mengetik cerita
58; Aku sedang mengetik cerita
58; Cerita diketik aku
58; Cerita diketik oleh aku
58; Cerita sedang diketik oleh aku
60; Aku mengetik cerita ketika ayah datang
60; Cerita diketik aku ketika ayah datang
60; Cerita diketik oleh aku ketika ayah datang
62; Suminah adalah anak kedua
62; Suminah adalah anak yang kedua
62; Suminah adalah anak nomor dua
63; Ia dimanja
63; Ia manja
64; ia dimanja orang tua
64; ia dimanja oleh orang tua
64; Orang tua memanjakan ia
66; Aku membenci tikus
66; Aku benci tikus
66; Ku benci tikus
66; Tikus dibenci aku
66; Tikus dibenci oleh aku
68; Ia membenci kucing
68; Dia membenci kucing
68; Kucing dibenci ia
68; Kucing dibenci oleh ia
68; Kucing dibenci oleh dia
70; Ayah seorang polisi
71; Dewi anak yang manja
71; Dewi anak manja
72; Orang yang merangkak itu Rudi
72; Orang yang merangkak tersebut Rudi
72; Orang yang merangkak tersebut bernama Rudi
72; Orang yang merangkak itu bernama Rudi
72; Orang yang sedang merangkak tersebut bernama Rudi
73; Pak Sasu seorang CEO muda di Indonesia
73; Bapak Sasu seorang CEO muda di Indonesia
73; Di Indonesia, Bapak Sasu seorang CEO muda
73; Di Indonesia, Pak Sasu seorang CEO muda 
74; Andriana anak yang pemberani
74; Andriana anak pemberani
74; Andriana anak yang berani
75; Zia adalah mayoret kelompok Marching Band itu
75; Zia adalah mayoret kelompok Marching Band
75; Mayoret kelompok Marching Band itu adalah Zia
75; Mayoret kelompok Marching Band adalah Zia
76; Mereka siswa SMA Dua Nusantara
76; Mereka siswa dari SMA Dua Nusantara
76; Siswa SMA Dua Nusantara itu mereka
77; Teguh seorang perwira polisi
78; Ramadhan merupakan bulan yang suci
78; Ramadhan merupakan bulan suci
78; Bulan yang suci merupakan Ramadhan 
78; Bulan suci merupakan Ramadhan 
79; Andi membaca buku
79; Andi sedang membaca buku
79; Buku dibaca Andi
79; Buku dibaca oleh Andi
79; Buku sedang dibaca oleh Andi
81; Siana berlari di lapangan
81; Siana lari di lapangan
81; Siana sedang berlari di lapangan
81; Di lapangan, Siana berlari
81; Di lapangan, Siana sedang berlari
82; Siwan mengerjakan tugas di perpustakaan kampus
82; Siwan sedang mengerjakan tugas di perpustakaan kampus
82; Di perpustakaan kampus, Siwan mengerjakan tugas 
82; Tugas dikerjakan Siwan di perpustakaan kampus
82; Di perpustakaan kampus, tugas dikerjakan Siwan 
84; Bumi berotasi
85; Bola itu berputar di udara
85; Bola berputar di udara
85; Di udara, bola tersebut berputar 
85; Di udara, bola itu berputar 
85; Di udara, bola berputar 
86; Dika menyapa setiap orang yang dilewatinya
86; Setiap orang yang dilewatinya disapa Dika
86; Setiap orang yang dilewatinya disapa oleh Dika
86; Setiap orang yang lewat disapa Dika
86; Setiap orang yang lewat disapa oleh Dika
88; Menara Pisa bergerak semakin miring
88; Menara Pisa bergerak miring
89; Sonia membaca jurnal harian sekolahnya kembali
89; Jurnal harian sekolahnya dibaca Sonia kembali
91; Singa itu mati kelaparan
91; Singa tersebut mati kelaparan
92; Impala itu berlari dari kejaran singa
92; Impala itu berlari dari singa yang mengejar
92; Impala itu lari dari singa yang mengejar
92; Impala tersebut lari dari kejaran singa
92; Impala tersebut berlari dari singa yang mengejar
93; Pembangunan gedung itu lima tahun
93; Lima tahun gedung itu dibangun
93; Lima tahun gedung tersebut dibangun
93; Lima tahun pembangunan gedung tersebut
93; Lima tahun dibangun gedung tersebut
94; Selesai satu misi
94; Satu misi selesai
95; Sepatu Anna dua pasang
95; Dua pasang sepatu Anna
96; Ada Coklat tiga biji
96; Ada tiga biji coklat
97; Umur bangunannya berabad abad
97; Umur bangunannya berabad-abad
97; Umur bangunan itu berabad-abad
97; Umur bangunan tersebut berabad-abad
97; Berabad-abad umur bangunan tersebut 
98; Ada tiga Anak kucing
98; Anak kucing ada tiga
99; Tante Ari naik sepeda
99; Tante Ari sedang naik sepeda
99; Tante Ari menaiki sepeda
99; Sepeda dinaiki Tante Ari
99; Sepeda dinaiki oleh Tante Ari
101; Bu Ayu menjadi lulusan terbaik IPB tahun 2017
102; Dia mampu mandiri secara finansial
103; Ibunya adalah seorang dokter
103; Ibunya seorang dokter
104; Arya membeli telur di minimarket
104; Arya beli telur di minimarket
104; Telur dibeli Arya di minimarket
104; Di minimarket, Arya membeli telur
104; Di minimarket, telur dibeli Arya
105; telur dibeli Kakek Arya di minimarket
105; Kakek Arya membeli telur di minimarket
105; Kakek Arya beli telur di minimarket
105; Di minimarket, Kakek Arya beli telur 
105; Di minimarket, telur dibeli Kakek Arya  
106; Rumah itu roboh
106; Rumah roboh
106; Rumah tersebut roboh
107; Hujan mengacaukan sinyal internet
107; Sinyal internet dikacaukan hujan
107; Sinyal internet dikacaukan oleh hujan
107; Sinyal internet kacau oleh hujan
107; Kacaunya sinyal internet oleh hujan 
108; Ini adalah pemadaman bergilir keempat kalinya minggu ini
108; Di minggu ini, ini adalah pemadaman bergilir keempat
109; Mobilnya berwarna silver
109; Mobilnya warna silver
109; Mobil warna silver
109; Mobil itu berwarna silver
109; Mobil tersebut berwarna silver
110; Aku menaruh majalah di atas meja
110; Di atas meja, aku menaruh majalah
110; majalah ditaruh aku di atas meja
110; Di atas meja, majalah ditaruh aku
110; Di atas meja, majalah ditaruh olehku
112; Aji mendapatkan pekerjaan yang bagus di perusahaan multi-nasional
112; Pekerjaan yang bagus didapatkan Aji di perusahaan multi-nasional
112; Pekerjaan yang bagus didapatkan oleh Aji di perusahaan multi-nasional
112; Di perusahaan multi-nasional, Aji mendapatkan pekerjaan yang bagus
112; Di perusahaan multi-nasional, pekerjaan yang bagus didapatkan Aji 
113; Orang itu berdiri di sana sejak tadi
113; Di sana, orang tersebut berdiri sejak tadi
113; Sejak tadi, orang itu berdiri di sana
113; Di sana, orang itu berdiri sejak tadi
113; Di sana, sejak tadi orang itu berdiri
114; Kakaknya meninggal
114; Kakak meninggal
115; Riana pergi ke pasar
115; Riana sedang pergi ke pasar
115; Ke pasar, Riana pergi
116; Ayah dari kota
117; Ayah membawakanku boneka
117; Ayah membawakan boneka
117; Ayah membawa boneka
117; Boneka dibawakan ayah
117; Boneka dibawa oleh ayah
119; Kesang bermain bola
119; Kesang sedang bermain bola
119; Kesang main bola
119; Bola dimainkan Kesang
119; Bola dimainkan oleh Kesang
121; Mobilnya menabrak mobil parkir di depan kompleks pagi ini
121; Mobil parkir ditabrak mobilnya di depan kompleks pagi ini
121; Pagi ini, mobil parkir ditabrak mobilnya di depan kompleks
121; Di depan kompleks, mobil parkir ditabrak mobilnya pagi ini
121; Di depan kompleks, mobilnya menabrak mobil parkir pagi ini
123; Agung memberikan selamat padaku bulan ini
123; Bulan ini, Agung memberikan selamat padaku 
123; Bulan ini, selamat diberikan oleh Agung padaku
123; Selamat diberikan oleh Agung padaku bulan ini 
123; Selamat diberikan Agung padaku bulan ini 
124; Hari ini aku bahagia
124; Hari ini ku bahagia
124; Aku bahagia hari ini
124; Aku berbahagia hari ini
124; Ku bahagia hari ini
125; Kucingnya beranak lima
125; Kucing beranak lima
125; Kucing itu beranak lima
125; Kucing tersebut beranak lima
126; Ibu pergi ke kantor
126; Ibu sedang pergi ke kantor
126; Ke kantor, Ibu pergi
127; Ayah mengantar ibu ke pasar
127; Ibu diantar ayah ke pasar
127; Ibu diantar oleh ayah ke pasar
127; Ke pasar, ibu diantar ayah
127; Ke pasar, ayah mengantar ibu 
129; Gajinya tiap bulan setara satu buah rumah
129; Gajinya setiap bulan setara dengan satu buah rumah
129; Gajinya tiap bulan setara dengan satu buah rumah
129; Gajinya tiap bulan setara rumah satu buah
129; Gaji tiap bulan setara satu buah rumah
130; Aku makan roti tadi
130; Tadi aku makan roti
130; Roti dimakan aku tadi
130; Roti dimakan olehku tadi
130; Tadi, roti dimakan oleh aku 
132; Roti itu busuk
132; Roti tersebut busuk
132; Roti busuk
133; Roti itu aku buang ke tempat sampah
133; Aku buang Roti itu ke tempat sampah
133; Aku membuang Roti itu ke tempat sampah
133; Roti itu dibuang oleh aku ke tempat sampah
133; Roti itu dibuang olehku ke tempat sampah
135; Aceng membawakanku sesuatu dari Semeru
135; Dari Semeru, Aceng membawakanku sesuatu 
135; Aceng membawakan sesuatu dari Semeru
135; Sesuatu dibawa oleh Aceng dari Semeru
135; Dari Semeru, sesuatu dibawa Aceng
136; Mobilnya bergerak maju
136; Mobil tersebut bergerak maju
136; Mobil itu bergerak maju
136; Mobil bergerak maju
136; Bergerak maju mobil itu
137; Teknologi yang mereka gunakan merupakan yang paling mutakhir
138; Dia anak yang riang
138; Dia anak yang periang
138; Dia anak periang
139; Balonku ada lima
139; Ada lima balonku 
139; Ada lima balon
139; Balon ada lima   
140; Jabar membelikannya untukku
140; Jabar beli untukku
141; Kami senang di taman bermain siang itu
141; Kami senang siang itu di taman bermain 
141; Siang itu, kami senang di taman bermain
141; Di taman bermain, kami senang siang itu
141; Siang itu di taman bermain, kami senang 
142; Raut mukanya nampak bahagia
142; Raut mukanya nampak berbahagia
142; Raut muka tampak bahagia
142; Tampak bahagia raut mukanya 
142; Nampak bahagia raut mukanya 
143; Kejadian kemarin membuat Rifqy tersadar
143; Rifqy dibuat sadar kejadian kemarin 
145; Ia menyukai kedekatan mereka selama ini
145; Selama ini, ia menyukai kedekatan mereka
146; Bu Rifqy mengetahui perasaannya
146; Bu Rifqy tahu perasaannya
146; Ibu Rifqy tahu perasaannya
146; Perasaannya diketahui Bu Rifqy
146; Perasaannya diketahui Ibu Rifqy
148; Alfiansyah juara renang
148; Alfiansyah juara berenang
148; Juara renang Alfiansyah
148; Juara berenang Alfiansyah
149; Agribisnis 50 menjadi juara umum The 10th tahun ini
149; Tahun ini, Agribisnis 50 menjadi juara umum The 10th
150; Aku mengantuk sore tadi
150; Tadi sore, aku mengantuk
151; Dia menyelesaikan tugasnya tepat pada waktunya
151; Dia menyelesaikan tugasnya tepat waktu
151; Tugas diselesaikan dia tepat pada waktunya
151; Tugas diselesaikan oleh dia tepat waktu
151; Tugasnya diselesaikan dia dengan tepat waktu
153; Dia anak yang cerdas
153; Dia anak cerdas
154; Rumahnya ada di belakang kebun raya
154; Di belakang kebun raya ada rumahnya
155; Sebelah kanan ada TK
155; Di sebelah kanan ada TK
155; Di sebelah kanan TK berada
155; Ada TK di sebelah kanan
155; TK berada di sebelah kanan
156; Mereka memilih tinggal di pinggiran Jakarta
156; Tinggal di pinggiran Jakarta itu pilihan mereka
156; Tinggal di pinggiran Jakarta ini pilihan mereka
157; Jarak rumah mereka yang sekarang lebih dekat ke tempat kerja
157; Rumah mereka yang sekarang berjarak lebih dekat ke tempat kerja
158; Shiana merupakan anak mereka berdua
159; Shiana sekarang sedang menantikan adiknya lahir ke dunia
159; kelahiran adiknya sedang dinantikan Shiana ke dunia sekarang
159; Sekarang Shiana sedang menantikan kelahiran adiknya ke dunia
159; Sekarang kelahiran adiknya ke dunia sedang dinantikan oleh Shiana
159; Kelahiran adiknya ke dunia sedang dinantikan oleh Shiana sekarang
161; Ibunya menyemangati gadis itu di garis finish tadi pagi
161; gadis itu disemangati Ibunya di garis finish tadi pagi
161; Tadi pagi, gadis itu disemangati Ibunya di garis finish
161; Di garis finish, gadis itu disemangati Ibunya tadi pagi
161; Di garis finish, gadis itu disemangati oleh Ibunya tadi pagi
163; Aku menyerah
164; Aku merasa sendirian lagi di rumah
164; Di rumah, aku merasa sendirian lagi
164; Di rumah, sendirian lagi dirasakan oleh aku
164; Sendirian lagi dirasakan oleh aku di rumah 
164; Sendirian lagi dirasakan olehku di rumah
165; Dia temani aku sampai pagi
165; Dia menemani aku sampai pagi
165; Aku ditemani oleh dia sampai pagi
165; Sampai pagi, dia menemani aku
165; Sampai pagi, aku ditemani dia
166; Kedatangan pencuri membuat Seti trauma
166; Kedatangan pencuri membuat trauma Seti 
166; Seti trauma dibuat oleh kedatangan pencuri
166; Trauma Seti dibuat oleh kedatangan pencuri
167; Aku melihat raut kesedihannya
167; Aku lihat raut kesedihannya
167; Raut kesedihannya dilihat aku
167; Raut kesedihannya dilihat oleh aku
167; Raut kesedihannya dilihat olehku
169; Ariana mendapat tepuk tangan meriah dari penonton
169; Ariana mendapatkan tepuk tangan meriah dari penonton
169; Tepuk tangan meriah didapatkan Ariana dari penonton
169; Tepuk tangan meriah dari penonton didapatkan Ariana
169; Tepuk tangan meriah dari penonton didapat oleh Ariana 
170; Pak Rifqy mengantarkan aku  hari ini
170; Aku diantar Pak Rifqy hari ini  
170; Hari ini, Pak Rifqy mengantarkan aku
170; Hari ini, Pak Rifqy mengantarku
170; Hari ini, Aku diantar Pak Rifqy
171; Kami menghabiskan waktu bersama sejak pagi
171; Waktu bersama sejak pagi kami habiskan
171; Waktu bersama kami habiskan sejak pagi   
171; Sejak pagi, kami menghabiskan waktu bersama
171; Sejak pagi, waktu bersama kami habiskan
172; Ia membawa bunga kemarin
172; Bunga dibawa Ia kemarin
172; Kemarin, Ia membawa bunga
172; Kemarin, bunga dibawa Ia
172; Kemarin, bunga dibawa oleh Ia
174; Ia mengaku jika selama ini hanya berpura pura peduli
174; Ia mengaku jika selama ini hanya berpura-pura peduli
174; Berpura-pura peduli selama ini diakui oleh ia
174; Berpura-pura peduli selama ini diakui oleh dia
174; Berpura-pura peduli selama ini diakui ia 
175; Aku senang mendengar pengakuannya
175; Mendengar pengakuannya, aku senang 
176; Kami memutuskan menikah tahun depan
176; Menikah tahun depan, kami putuskan
177; Orang tuanya menerimaku apa adanya
177; Apa adanya diterima oleh orang tuanya
178; Kami sekeluarga bersuka cita
178; Bersuka cita, kami sekeluarga 
179; Zahra lulus dengan nilai memuaskan
179; Zahra lulus dengan nilai yang memuaskan
180; Ia melewati ujian dengan lancar
180; Ujian dilewati ia dengan lancar
180; Dengan lancar, ia melewati ujian
180; Dengan lancar, ujian dilewati ia
180; Dengan lancar, ujian dilewati oleh ia 
182; Putri mendapat sorotan di pertunjukan itu
182; Sorotan didapat Putri di pertunjukan itu
182; Di pertunjukan itu, sorotan didapat Putri
182; Di pertunjukan itu, sorotan didapatkan oleh Putri
182; Di pertunjukan itu, Putri mendapat sorotan
184; Penampilannya memukau semua orang
184; Semua orang terpukau penampilannya
184; Semua orang terpukau oleh penampilannya
184; Semua orang terpukau dengan penampilannya
184; Dengan penampilannya, semua orang terpukau 
185; Ada yang menyangka ia sebagus itu
186; Dia tampak cantik sekali malam ini
186; Cantik sekali tampaknya dia malam ini
186; Malam ini, cantik sekali tampaknya dia 
186; Malam ini, dia tampak cantik sekali
186; Malam ini, ia tampak cantik sekali
187; Semua orang berebut berfoto
187; Semua orang berebut foto
187; Semua orang berebut untuk berfoto
188; Ia menjadi bintang malam ini
188; Jadilah ia bintang malam ini
188; Dia menjadi bintang malam ini
188; Malam ini, ia menjadi bintang
188; Malam ini, dia menjadi bintang
189; Aku mendapatkan tawaran menarik dari perusahaan itu
189; Dari perusahaan itu, aku mendapatkan tawaran menarik 
189; Tawaran menarik didapatkan aku dari perusahaan itu
189; Tawaran menarik didapat oleh aku dari perusahaan itu
189; Tawaran menarik aku dapatkan dari perusahaan itu
191; Mereka menawari aku sebagai menajer
191; Aku ditawari mereka sebagai menajer
191; Sebagai menajer, aku ditawari mereka 
191; Sebagai menajer, aku ditawari oleh mereka 
191; Sebagai menajer, mereka menawariku 
193; Mereka melihat hasil skripsi kemarin  
193; Hasil skripsi dilihat mereka kemarin  
193; Kemarin, hasil skripsi dilihat mereka
193; Kemarin, hasil skripsi dilihat oleh mereka
193; Kemarin, mereka melihat hasil skripsi    
195; Mereka senang dengan karya tulis tersebut
195; Mereka senang dengan karya tulis itu
195; Karya tulis tersebut disenangi oleh mereka 
195; Karya tulis tersebut mereka senangi
195; Karya tulis itu mereka senangi 
196; Sebuah penerbit tertarik menerbitkan bukuku
197; Mereka melihat contoh dari blog
197; Contoh dilihat mereka dari blog
197; Contoh dilihat oleh mereka dari blog
197; Dari blog, mereka melihat contoh
197; Dari blog, contoh dilihat oleh mereka
199; Buku pertama berjudul Rindu
199; Rindu, judul buku pertama 
200; Kami merayakan kesuksesan buku
200; Kami rayakan kesuksesan buku
200; Kesuksesan buku dirayakan kami
200; Kesuksesan buku dirayakan oleh kami 
200; Kesuksesan buku kami rayakan 
202; Tia menyumbangkan rezeki ke tempat yatim piatu
202; Rezeki disumbangkan Tia ke tempat yatim piatu
202; Ke tempat yatim piatu, rezeki disumbangkan Tia 
202; Ke tempat yatim piatu, rezeki disumbangkan oleh Tia
202; Ke tempat yatim piatu, Tia menyumbangkan rezeki 
204; Tia dikenal baik orang-orang
204; Tia dikenal baik oleh orang-orang
205; Ia merupakan orang yang dermawan
206; Semua satpam kampus mengenal Utami
206; Semua satpam kampus kenal dengan Utami
206; Semua satpam kampus kenal Utami
206; Utami dikenal semua satpam kampus 
206; Utami dikenal oleh semua satpam kampus 
208; Ia mengawali karir musiknya dengan bagus
208; Karir musiknya ia awali dengan bagus
208; Karir musiknya diawali dengan bagus oleh ia
208; Karir musiknya diawali dengan bagus oleh dia
208; Karir musiknya dengan bagus ia awali 
209; Kini, ia adalah bintang kesayangan penggemarnya
209; Kini, dia adalah bintang kesayangan penggemarnya
209; Ia adalah bintang kesayangan penggemarnya kini
209; Dia kini adalah bintang kesayangan penggemarnya
209; Ia kini adalah bintang kesayangan penggemarnya
210; Azhila membawa tas yang terbuat dari kulit harimau asli
210; Tas yang terbuat dari kulit harimau asli dibawa Azhila
210; Tas yang terbuat dari kulit harimau asli dibawa oleh Azhila
211; Mereka membawa tas
211; Tas dibawa mereka
211; Tas dibawa oleh mereka
213; Aji menang lomba penulisan karya ilmiah
213; Aji memenangi lomba penulisan karya ilmiah 
213; Lomba penulisan karya ilmiah dimenangi Aji
213; Lomba penulisan karya ilmiah dimenangi oleh Aji
213; Lomba penulisan karya ilmiah dimenangkan oleh Aji
214; Tulisan dihargai oleh juri
214; Tulisan tersebut dihargai juri
214; Juri menghargai tulisan
214; Juri menghargai tulisan tersebut
214; Juri menghargai tulisan itu
216; Lomba itu memberikan hadiah liburan ke eropa
216; Hadiah liburan ke eropa diberikan lomba itu
216; Hadiah liburan ke eropa diberikan oleh lomba itu  
216; Hadiah yang diberikan oleh lomba itu adalah liburan ke eropa
216; Hadiah yang diberikan oleh lomba adalah liburan ke eropa
217; Malam ini bulan bersinar cerah
217; Malam ini bulan bersinar dengan cerah
217; Pada malam ini, bulan bersinar dengan cerah
217; Bulan bersinar cerah malam ini
217; Bulan bersinar dengan cerah malam ini
218; Semua orang larut dalam kesenangan
218; Semua orang terlarut dalam kesenangan
218; Semua orang dilarutkan dalam kesenangan
218; Kesenangan itu melarutkan semua orang
219; Gadis itu tampak menikmati musik
219; Gadis itu tampaknya menikmati musik
219; Gadis itu nampaknya sedang menikmati musik
219; Tampaknya gadis itu sedang menikmati musik
219; Nampaknya gadis itu sedang menikmati musik
220; Badannya bergerak seirama
220; Badannya bergerak dengan irama
221; Tampak beberapa pria kagum melihatnya dari jauh
221; Dari jauh, tampak beberapa pria kagum melihatnya 
222; Kini ia hanya terkenal lewat otak cerdasnya
222; Ia kini hanya terkenal lewat otak cerdasnya
222; Ia hanya terkenal lewat otak cerdasnya kini
223; Kini ia juga dikenal sebagai perempuan mempesona
223; Ia kini juga dikenal sebagai perempuan yang mempesona
223; Ia juga dikenal sebagai perempuan yang mempesona kini
224; Bu Ayu mengakhiri kisah bahagianya
224; Kisah bahagianya diakhiri Ayu
224; Kisah bahagianya diakhiri Bu Ayu
224; Kisah bahagianya diakhiri oleh Bu Ayu
224; Kisah bahagia itu diakhiri oleh Bu Ayu  
226; Karyanya terpilih menjadi 10 karya terbaik
227; Orang-orang terpesona dengan dirinya hari ini
227; Orang-orang terpesona oleh dirinya hari ini
227; Hari ini, orang-orang terpesona dengan dirinya
227; Hari ini, dirinya memesona orang-orang
227; Hari ini, dirinya mempesonakan orang-orang 
228; Suatu hari, Om Aria datang menemui Tante Laisha
228; Pada suatu hari, Om Aria datang untuk menemui Tante Laisha
228; Pada suatu hari, Tante Laisha didatangi oleh Om Aria yang menemuinya 
228; Om Aria datang untuk menemui Tante Laisha pada suatu hari
228; Tante Laisha didatangi oleh Om Aria yang menemuinya pada suatu hari
229; Mereka duduk bersebelahan di dalam trem
229; Mereka duduk secara bersebelahan di dalam trem
229; Di dalam trem, mereka duduk bersebelahan
229; Di dalam trem, mereka duduk secara bersebelahan 
229; Mereka duduk di dalam trem secara bersebelahan 
230; Aku memberinya uang lima ribu rupiah
230; Aku memberi uang lima ribu rupiah
230; Aku beri uang lima ribu rupiah
230; Uang lima ribu rupiah diberi oleh aku  
230; Uang lima ribu rupiah diberikan olehku  
231; Suster Nabilla memberiku kripik
231; Kripik diberikan oleh Suster Nabilla
231; Kripik diberi oleh Suster Nabilla
231; Suster Nabilla memberi kripik
231; Suster Nabilla memberikan kripik
232; Pak Aria menyelesaikan tesis
232; Tesis diselesaikan Pak Aria
232; Tesis diselesaikan oleh Pak Aria  
234; Paman Anto membawa bingkisan
234; Bingkisan dibawa oleh Paman Anto
234; Bingkisan dibawa Paman Anto
235; Aku mengunjungi museum Van Gogh
235; Museum Van Gogh dikunjungi aku
235; Museum Van Gogh dikunjungi oleh aku
237; Wafir jago bermain gitar
237; Wafir bermain gitar dengan jago
237; Gitar dimainkan Wafir dengan jago
238; Aku ingin menjadi lebih baik lagi
238; Menjadi lebih baik lagi, keinginan aku
238; Menjadi lebih baik lagi adalah keinginan aku
238; Menjadi lebih baik lagi inginnya aku
238; Menjadi lebih baik lagi adalah keinginanku
239; Bu Ayu sengaja bertemu Pak Jabbar di konser
239; Di konser, Bu Ayu sengaja bertemu Pak Jabbar 
240; Mereka akhirnya memilih untuk bergabung
240; Mereka memilih untuk bergabung
240; Mereka memilih bergabung
240; Bergabung adalah pilihan mereka
240; Bergabung adalah yang mereka pilih
241; Pemandangannya terlihat indah
241; Indahnya pemandangan terlihat
242; Dewi anak yang baik
242; Dewi anak baik
243; Firman anak nakal
243; Firman anak yang nakal
244; Lukisan yang indah
244; Lukisan indah
245; Angin berhembus ke arah barat
245; Angin yang berhembus ke arah barat
245; Angin arah barat yang berhembus
246; Pamannya dari Jawa tengah
246; Pamannya yang dari Jawa tengah
247; Saya pergi dari sekolah
247; Saya yang pergi dari sekolah
248; Seminar itu dilaksanakan di Gedung Serba Guna
248; Di Gedung Serba Guna, sedang dilaksanakan seminar
249; Kemarin, aku sempat berkunjung ke rumahnya
249; Kemarin aku berkunjung ke rumahnya
249; Aku sempat berkunjung ke rumahnya kemarin
249; Aku berkunjung ke rumahnya kemarin
250; Paman Noel membawa serabi dari Semarang
250; Paman Noel dari Semarang membawa serabi 
250; Serabi dibawa Paman Noel dari Semarang
